===== Simulator configuration =====
BLOCKSIZE:             128
L1_SIZE:               32768
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               524288
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	2001b D	  2002b D	  2002a D	  20018 D	  
Set	1:	2002b D	  2002a D	  20018 D	  20022 D	  
Set	2:	2002b D	  2002a D	  20018 D	  20022 D	  
Set	3:	2001d D	  2002b D	  2002a D	  20018 D	  
Set	4:	2001c D	  20024  	  2001d D	  2002b D	  
Set	5:	2002b D	  2001c D	  20018 D	  2002a D	  
Set	6:	2002a D	  20018 D	  20022 D	  2001a D	  
Set	7:	2001d D	  2001c  	  2002a D	  20018 D	  
Set	8:	2002a D	  20018 D	  20022 D	  2001a D	  
Set	9:	2001b D	  2002a D	  20018 D	  20022 D	  
Set	10:	2001b D	  2002a D	  20018 D	  20022 D	  
Set	11:	2001f D	  20022 D	  2001b D	  2002a D	  
Set	12:	20022 D	  20015 D	  2002a D	  2001f D	  
Set	13:	2001f D	  20022 D	  2002a D	  20018 D	  
Set	14:	2002a D	  20018 D	  2001a D	  20027  	  
Set	15:	2001b D	  2002a D	  20018 D	  2001a D	  
Set	16:	2001f D	  2001b D	  2002a D	  20018 D	  
Set	17:	2001e D	  2002a D	  20018 D	  2001a D	  
Set	18:	20021 D	  2002a D	  20018 D	  2001a D	  
Set	19:	2001f D	  2002a D	  20018 D	  20021 D	  
Set	20:	2002a D	  20018 D	  20021 D	  2001a D	  
Set	21:	2002a D	  20018 D	  20021 D	  2001a D	  
Set	22:	2001b D	  2002a D	  20018 D	  20021 D	  
Set	23:	2001f D	  2001b D	  2002a D	  20018 D	  
Set	24:	2002a D	  20018 D	  20021 D	  2001a D	  
Set	25:	2001f D	  2002a D	  20018 D	  20021 D	  
Set	26:	2002a D	  20018 D	  20021 D	  2001a D	  
Set	27:	2002a D	  2001b D	  20018 D	  20021 D	  
Set	28:	2001f D	  2001b D	  20029 D	  2002a D	  
Set	29:	2002a D	  20029 D	  20018 D	  20021 D	  
Set	30:	2001f D	  2000f  	  2002a D	  2000e  	  
Set	31:	20019 D	  2001a D	  2000f  	  2000e  	  
Set	32:	20019 D	  2001f D	  2002a D	  20029 D	  
Set	33:	2000f  	  20029 D	  2002a D	  20018 D	  
Set	34:	2002a D	  20029 D	  20018 D	  20021 D	  
Set	35:	2001f D	  2001a D	  2000f  	  2002a D	  
Set	36:	20014  	  2002a D	  20029 D	  20018 D	  
Set	37:	20000  	  2000f  	  20014  	  20016 D	  
Set	38:	20000  	  2000f  	  20014  	  20029 D	  
Set	39:	2001a D	  20018 D	  20017 D	  20028 D	  
Set	40:	20018  	  20017 D	  20028 D	  20029 D	  
Set	41:	20017 D	  2000f  	  20018  	  20028 D	  
Set	42:	2000f  	  20013  	  2001a  	  20029 D	  
Set	43:	20013  	  2001a  	  20018 D	  20028 D	  
Set	44:	20013  	  2000f  	  2001a  	  20028 D	  
Set	45:	2001b D	  20017 D	  20028 D	  2002a D	  
Set	46:	2001a D	  20017 D	  2001b D	  20028 D	  
Set	47:	2001a D	  20028 D	  2002a D	  20018 D	  
Set	48:	2001a D	  20028 D	  20029 D	  20018 D	  
Set	49:	2001a D	  20028 D	  2001b D	  2002a D	  
Set	50:	3d819 D	  2001f D	  20028 D	  20029 D	  
Set	51:	20028 D	  2001f D	  2002a D	  20029 D	  
Set	52:	20028 D	  2001f D	  2001b D	  3d819 D	  
Set	53:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	54:	20028 D	  20018 D	  2001f D	  2002a D	  
Set	55:	20018 D	  20028 D	  2001a D	  2001f D	  
Set	56:	20028 D	  2002a D	  20029 D	  20019 D	  
Set	57:	20028 D	  2002a D	  2001f D	  20029 D	  
Set	58:	2001a D	  2002a D	  20029 D	  20019 D	  
Set	59:	2001f D	  2002a D	  20029 D	  20017 D	  
Set	60:	2001c  	  2002a D	  20029 D	  20017 D	  
Set	61:	20018 D	  20023  	  2001a D	  2001f D	  
Set	62:	20023  	  20018 D	  2002a D	  20029 D	  
Set	63:	20018 D	  20023  	  2001a D	  2002a D	  
===== L2 contents =====
Set	0:	4003  	  4005 D	  423b  	  0  	  0  	  0  	  0  	  0  	  
Set	1:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	2:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	3:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	4:	4003 D	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	5:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	6:	4003  	  4005 D	  423b  	  0  	  0  	  0  	  0  	  0  	  
Set	7:	4003  	  4005 D	  423b  	  0  	  0  	  0  	  0  	  0  	  
Set	8:	4003  	  4005 D	  423b  	  0  	  0  	  0  	  0  	  0  	  
Set	9:	4003  	  4005 D	  423b  	  0  	  0  	  0  	  0  	  0  	  
Set	10:	4003  	  4005 D	  423b  	  0  	  0  	  0  	  0  	  0  	  
Set	11:	4003 D	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	12:	4003 D	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	13:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	14:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	15:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	16:	4005 D	  4003  	  423b D	  0  	  0  	  0  	  0  	  0  	  
Set	17:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	18:	4005 D	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	19:	4003  	  4005 D	  423b D	  0  	  0  	  0  	  0  	  0  	  
Set	20:	4003  	  4005 D	  423b D	  0  	  0  	  0  	  0  	  0  	  
Set	21:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	22:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	23:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	24:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	25:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	26:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	27:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	28:	4003 D	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	29:	4005 D	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	30:	4003 D	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	31:	4003 D	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	32:	4003 D	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	33:	4005 D	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	34:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	35:	4003 D	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	36:	4003  	  4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	37:	4000  	  4005 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	38:	4000  	  4005 D	  4003 D	  0  	  0  	  0  	  0  	  0  	  
Set	39:	4005  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	40:	4003  	  4005  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	41:	4005  	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	42:	4005 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	43:	4003  	  4005  	  4000  	  0  	  0  	  0  	  0  	  0  	  
Set	44:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	45:	4005  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	46:	4005  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	47:	4005  	  4003  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	48:	4005  	  4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	49:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	50:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	51:	4005  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
