===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               1024
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               32768
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	400013  	  40051a D	  7b0339 D	  400314  	  
Set	1:	400382 D	  400013  	  40051a D	  4002a6 D	  
Set	2:	400013  	  400446 D	  40051a D	  400482  	  
Set	3:	400013  	  400314  	  400357  	  400358 D	  
Set	4:	40031e D	  4001f2  	  4002f4 D	  40031f D	  
Set	5:	400012  	  4002f4  	  4001f4  	  400314  	  
Set	6:	400012  	  4001f2  	  400275  	  40051a  	  
Set	7:	400012  	  4003f1 D	  400358  	  400519 D	  
===== L2 contents =====
Set	0:	40033 D	  40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  
Set	1:	40033 D	  4003f D	  40055 D	  40053 D	  40056 D	  40054 D	  40031 D	  40030 D	  
Set	2:	40033 D	  40055 D	  40056 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  
Set	3:	40036 D	  40056 D	  40053 D	  40055 D	  40054 D	  40031 D	  40030 D	  40044 D	  
Set	4:	4001f  	  40056 D	  40053 D	  40055 D	  40054 D	  40031 D	  40030 D	  40044 D	  
Set	5:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	6:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	7:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	8:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	9:	40056 D	  40054 D	  40055 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	10:	40056 D	  40054 D	  40055 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	11:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
