===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               131072
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	20028d D	  20018a  	  20028e D	  200198 D	  
Set	1:	2001c1 D	  20028d D	  200153 D	  20013b  	  
Set	2:	200223 D	  20028d D	  200241  	  2001c1  	  
Set	3:	20018a  	  2001ac D	  20028e D	  20028d D	  
Set	4:	20018f D	  2000f9  	  20017a D	  20018a  	  
Set	5:	200009  	  20017a  	  2000fa  	  20018a  	  
Set	6:	200009  	  2000f9  	  20028d D	  20018a  	  
Set	7:	200009  	  2001ac  	  2000fa  	  200149  	  
Set	8:	200009  	  3d819c D	  20017b D	  2000f9  	  
Set	9:	200009  	  2000fa  	  2000f9  	  2001b2 D	  
Set	10:	200009  	  200214  	  2000fa  	  20023f  	  
Set	11:	200009  	  2001ab  	  20013a  	  20023f  	  
Set	12:	20018f D	  2001f2  	  2001aa  	  20018a D	  
Set	13:	20028d D	  20018d D	  20013a  	  20028c D	  
Set	14:	20013a  	  20018d D	  20028d D	  2001ad D	  
Set	15:	2001f8 D	  20028c D	  20013a  	  20018d D	  
===== L2 contents =====
Set	0:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  37e  	  0  	  0  	  
Set	1:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	2:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  108ec  	  0  	  0  	  
Set	3:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  37e  	  0  	  0  	  
Set	4:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	5:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	6:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	7:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  e1  	  0  	  0  	  
Set	8:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  e1  	  0  	  0  	  
Set	9:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  e1  	  37e  	  0  	  
Set	10:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	11:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	12:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	13:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	14:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	15:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	16:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	17:	1000e  	  10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  
Set	18:	10012  	  1000e D	  10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  
Set	19:	1000e D	  10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  1084f  	  0  	  
Set	20:	10015 D	  1000c D	  10011 D	  1000d D	  1000e  	  10014 D	  37e  	  0  	  
Set	21:	1000e D	  10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10012  	  0  	  
Set	22:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10012 D	  0  	  0  	  
Set	23:	1000c D	  10015 D	  10011 D	  1000d D	  10014 D	  10012  	  0  	  0  	  
Set	24:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10012  	  1084f  	  108ec  	  
Set	25:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  1084f  	  108ec  	  0  	  
Set	26:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10012  	  10853 D	  108ec  	  
Set	27:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	28:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  108ec  	  1ec0d  	  0  	  
Set	29:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10012  	  108ec  	  1ec0d D	  
Set	30:	1000e  	  10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10012 D	  1ec0d D	  
Set	31:	10015 D	  1000c D	  10011 D	  1000d D	  10012 D	  10014 D	  1000e  	  108ec  	  
Set	32:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  108ec  	  1ec0d  	  0  	  
Set	33:	10015 D	  1000c D	  10011 D	  1000d D	  10012  	  10014 D	  108ec  	  1ec0d  	  
Set	34:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10012  	  108ec  	  37e  	  
Set	35:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  108ec  	  1ec0d  	  0  	  
Set	36:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10853 D	  108ec  	  0  	  
Set	37:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10012  	  1ec0d D	  0  	  
Set	38:	1000c D	  10015 D	  10011 D	  1000d D	  10014 D	  37e  	  1ec0d D	  0  	  
Set	39:	1000c D	  10015 D	  10011 D	  1000d D	  10014 D	  37e  	  1ec0d D	  0  	  
Set	40:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  108ec  	  1ec0d D	  0  	  
Set	41:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  108ec  	  1ec0d  	  0  	  
Set	42:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	43:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10853  	  0  	  0  	  
Set	44:	10015 D	  1000c D	  10011 D	  1000d D	  10014 D	  10853 D	  0  	  0  	  
Set	45:	10011 D	  10015 D	  1000c D	  1000d D	  10014 D	  1ec0d  	  0  	  0  	  
Set	46:	10015 D	  1000c D	  1000d D	  10014 D	  1ec0d  	  0  	  0  	  0  	  
Set	47:	10011 D	  10015 D	  1000c D	  1000d D	  10014 D	  37e  	  1ec0d  	  0  	  
Set	48:	10011 D	  10015 D	  1000c D	  1000d D	  10014 D	  0  	  0  	  0  	  
Set	49:	10015 D	  1000c D	  1000d D	  10014 D	  37e  	  0  	  0  	  0  	  
Set	50:	10011  	  10015 D	  1000c D	  1000d D	  10014 D	  37e  	  0  	  0  	  
Set	51:	10015 D	  1000c D	  1000d D	  10014 D	  37e  	  0  	  0  	  0  	  
Set	52:	10015 D	  1000c D	  1000d D	  10013  	  10014 D	  37e  	  10853 D	  0  	  
Set	53:	10015 D	  1000c D	  1000d D	  10014 D	  10013  	  0  	  0  	  0  	  
