===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               4096
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               32768
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	1000c5  	  100147 D	  1000cc D	  1000bd D	  
Set	1:	100147 D	  1000cc D	  1000fc D	  1000da D	  
Set	2:	1000c5  	  1000cc D	  100147 D	  100146 D	  
Set	3:	1000c5  	  1000d6 D	  100147 D	  1000d8 D	  
Set	4:	1000bd D	  1000c5  	  100147 D	  100146 D	  
Set	5:	1000bd  	  10007d  	  1000c5  	  100147 D	  
Set	6:	1000c5  	  1000d9 D	  1000d6 D	  100146 D	  
Set	7:	1000d6  	  10007d  	  1000d9 D	  1000fb D	  
Set	8:	1ec0ce D	  10007d  	  1000d9 D	  1000d5  	  
Set	9:	10007d  	  1000d9 D	  1000d5  	  1ec0ce D	  
Set	10:	10010a D	  10007d  	  1000d5  	  1000fe D	  
Set	11:	10009d  	  1000d5  	  10010a D	  100146 D	  
Set	12:	1000f9  	  1000d5  	  1000c5 D	  10009d  	  
Set	13:	10009d  	  100146 D	  1000d9 D	  1000ff D	  
Set	14:	10009d  	  100146 D	  1000d9 D	  1000d4 D	  
Set	15:	1000fc D	  100146 D	  10009d  	  100111 D	  
Set	16:	100146 D	  1000d5  	  1000e7  	  1000e8 D	  
Set	17:	1000e0 D	  100146 D	  1000a9 D	  10009d  	  
Set	18:	100111 D	  100146 D	  100120  	  1000e0 D	  
Set	19:	100146 D	  1000e0 D	  1000de D	  1000fe D	  
Set	20:	1000c7 D	  10007c  	  100146 D	  1000a4  	  
Set	21:	100004  	  100146 D	  10011f  	  1000c7 D	  
Set	22:	100004  	  10007c  	  100146 D	  10011f  	  
Set	23:	100004  	  1000a4  	  100146 D	  10011f  	  
Set	24:	100004  	  1000bd D	  10007c  	  1000a4  	  
Set	25:	100004  	  10007c  	  10011f  	  100146 D	  
Set	26:	100004  	  10011f  	  100146 D	  1000d5 D	  
Set	27:	100004  	  1000d5  	  10011f  	  100146 D	  
Set	28:	1000c7 D	  1000d5  	  10011f  	  100146 D	  
Set	29:	100146 D	  1000c6 D	  1000d9 D	  1000d5 D	  
Set	30:	1000c6 D	  100146 D	  1000d6 D	  1000d3 D	  
Set	31:	1000c6 D	  100146 D	  1000cb D	  1000d4 D	  
===== L2 contents =====
Set	0:	40033  	  40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  
Set	1:	40033  	  40055 D	  4003f  	  40053 D	  40056 D	  40054 D	  40031 D	  40030 D	  
Set	2:	40055 D	  40033  	  40056 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  
Set	3:	40056 D	  40036  	  40053 D	  40055 D	  40054 D	  40031 D	  40030 D	  40044 D	  
Set	4:	40056 D	  4001f  	  40053 D	  40055 D	  40054 D	  40031 D	  40030 D	  40044 D	  
Set	5:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	6:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	7:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	8:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	9:	40056 D	  40054 D	  40055 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	10:	40056 D	  40054 D	  40055 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	11:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	12:	40056 D	  4001f  	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  
Set	13:	40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  40043 D	  
Set	14:	40056 D	  40035 D	  4003a D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  
Set	15:	4003f  	  40056 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  
Set	16:	40056 D	  4003a  	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  
Set	17:	40038  	  4003a D	  40056 D	  40054 D	  40055 D	  40053 D	  40031 D	  40030 D	  
Set	18:	40048  	  40029  	  40056 D	  40054 D	  40038  	  40055 D	  40053 D	  40031 D	  
Set	19:	40056 D	  40038  	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  
Set	20:	4001f  	  40029  	  40056 D	  4002d D	  40055 D	  40054 D	  40053 D	  40031 D	  
Set	21:	40001  	  40055 D	  40038 D	  40054 D	  40053 D	  40031 D	  40030 D	  40044 D	  
Set	22:	40001  	  4001f  	  40051 D	  40055 D	  40054 D	  40053 D	  40031 D	  40030 D	  
Set	23:	40001  	  40029  	  40051 D	  40030 D	  40055 D	  4001f  	  40054 D	  40053 D	  
