===== Simulator configuration =====
BLOCKSIZE:             16
L1_SIZE:               1024
L1_ASSOC:              4
L1_PREF_N:             3
L1_PREF_M:             1
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	400013  	  40051a D	  7b0339 D	  400314  	  
Set	1:	400013  	  40051a D	  4002f7 D	  4001f5  	  
Set	2:	400382 D	  400013  	  4002a6 D	  40051a D	  
Set	3:	400013  	  40051a D	  400276  	  400365 D	  
Set	4:	400013  	  400446 D	  40051a D	  400482  	  
Set	5:	400013  	  400429  	  400382  	  400292  	  
Set	6:	400013  	  40051a D	  40051c D	  40047f  	  
Set	7:	400314  	  400357  	  400358 D	  40051c D	  
Set	8:	40031e D	  40031f D	  400314  	  4003e5  	  
Set	9:	40031e D	  4001f2  	  4002f4 D	  40051c D	  
Set	10:	4002f4  	  4001f4  	  40051c D	  400314  	  
Set	11:	400012  	  400314  	  40051a D	  40051b D	  
Set	12:	400012  	  400275  	  40051a D	  40051b D	  
Set	13:	400012  	  4001f2  	  400275  	  400314  	  
Set	14:	400012  	  400358  	  4001f4  	  400519 D	  
Set	15:	400012  	  4003f1 D	  400519 D	  400275  	  
===== L1-SB contents =====
40001370 
40042960 
4002f4b0 
===== L2 contents =====
Set	0:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	1:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	2:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	3:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	4:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	5:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  211d7  	  
Set	6:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	7:	2001b D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	8:	2001b  	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	9:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	10:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	11:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	12:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	13:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	14:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	15:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	16:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	17:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	18:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	19:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	20:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	21:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	22:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	23:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	24:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	25:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	26:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	27:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	28:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	29:	2002b D	  2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	30:	2002b D	  2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	31:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  2001d D	  
Set	32:	2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	33:	2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	34:	2001c  	  2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	35:	2001c  	  2001d  	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	36:	20024  	  2001c D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	37:	20024  	  2001c D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	38:	2001c D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  2001d D	  
Set	39:	2001c D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  2001d D	  
Set	40:	2001c  	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  2001d  	  
Set	41:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  2001c  	  
Set	42:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	43:	2001c D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20024  	  
Set	44:	2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20024  	  
Set	45:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20024 D	  
Set	46:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20027 D	  20028 D	  20024  	  
Set	47:	20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	48:	20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20024  	  20027 D	  
Set	49:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20024  	  
Set	50:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	51:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  20027 D	  
Set	52:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20024  	  
Set	53:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  20024  	  
Set	54:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  211d8  	  
Set	55:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	56:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  20027 D	  
Set	57:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20001 D	  
Set	58:	2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	59:	2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	60:	2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20024 D	  
Set	61:	2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	62:	2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  2001d  	  20024 D	  
Set	63:	2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20024  	  20028 D	  
Set	64:	2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	65:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  20027 D	  
Set	66:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20024  	  20028 D	  20027 D	  
Set	67:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20024  	  20028 D	  20027 D	  
Set	68:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	69:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028  	  20019 D	  20027 D	  
Set	70:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  20027 D	  
Set	71:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20001  	  
Set	72:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  2009b  	  
Set	73:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	74:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20024  	  
Set	75:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	76:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	77:	2001b D	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	78:	2001b D	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	79:	2001b D	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	80:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	81:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	82:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	83:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	84:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	85:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	86:	2002a D	  20018 D	  20022 D	  2001a D	  2001f  	  20028 D	  2001b D	  20027 D	  
Set	87:	2002a D	  20018 D	  20022 D	  2001a D	  20028 D	  20027 D	  2001b  	  210a6  	  
Set	88:	2001f  	  2002a D	  20018 D	  20022 D	  2001a D	  20028 D	  20027 D	  210a6  	  
Set	89:	2001f D	  2002a D	  20018 D	  20022 D	  2001a D	  20015 D	  20028 D	  20027 D	  
Set	90:	2001b D	  2001f  	  2002a D	  20018 D	  20022 D	  2001a D	  20015  	  20028 D	  
Set	91:	2001b  	  20022 D	  2002a D	  20018 D	  2001a D	  20015  	  20028 D	  20027 D	  
Set	92:	20022  	  2002a D	  20018 D	  2001a D	  20015  	  20028 D	  20027 D	  3d81a  	  
Set	93:	2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  3d81a  	  20001  	  
Set	94:	20022 D	  2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  2001f D	  
Set	95:	20022 D	  2002a D	  20018 D	  2001a D	  2001b  	  20028 D	  20027 D	  2001f  	  
Set	96:	20022  	  2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  6fc  	  
Set	97:	20022 D	  2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  0  	  
Set	98:	20015 D	  20022  	  2001f D	  2002a D	  20018 D	  2001a D	  20019 D	  20028 D	  
Set	99:	20015  	  2002a D	  2001f D	  20018 D	  2001a D	  20019  	  20028 D	  20027 D	  
Set	100:	20022  	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20027 D	  20019  	  
Set	101:	20022  	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20027 D	  20021  	  
Set	102:	2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20027 D	  20021  	  6fc  	  
Set	103:	2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  6fc  	  0  	  
Set	104:	2001f D	  2002a D	  20018 D	  2001a D	  20026  	  20028 D	  20027 D	  6fc  	  
Set	105:	2001f  	  2002a D	  20018 D	  2001a D	  20026  	  20028 D	  20027 D	  6fc  	  
Set	106:	2002a D	  20018 D	  2001a D	  20019 D	  20028 D	  20026  	  20027 D	  6fc  	  
Set	107:	2002a D	  20018 D	  2001a D	  20019 D	  20028 D	  20026  	  20021 D	  20027 D	  
Set	108:	20022 D	  2002a D	  20018 D	  2001a D	  20028 D	  20019  	  20026  	  20021  	  
Set	109:	20022 D	  2002a D	  20018 D	  2001a D	  20028 D	  20026  	  20027 D	  0  	  
Set	110:	2002a D	  20018 D	  2001a D	  20027 D	  20028 D	  20026  	  20022  	  0  	  
Set	111:	2002a D	  20018 D	  2001a D	  20023 D	  20026  	  20027 D	  20028 D	  6fd  	  
Set	112:	2002a D	  20018 D	  2001a D	  20023 D	  20026  	  20027 D	  20028 D	  6fd  	  
Set	113:	2002a D	  20018 D	  2001a D	  20026  	  20023  	  20028 D	  20027 D	  0  	  
Set	114:	2002a D	  20018 D	  2001a D	  20027 D	  20026  	  20028 D	  6fc  	  0  	  
Set	115:	2002a D	  20018 D	  2001a D	  20027 D	  20028 D	  20019 D	  6fc  	  0  	  
Set	116:	2002a D	  20018 D	  2001a D	  20028 D	  20019  	  20027 D	  6fc  	  0  	  
Set	117:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  6fc  	  0  	  0  	  
Set	118:	2002a D	  20018 D	  2001a D	  20027 D	  20028 D	  6fc  	  0  	  0  	  
Set	119:	2002a D	  20018 D	  2001a D	  20027 D	  20028 D	  6fc  	  0  	  0  	  
Set	120:	2002a D	  20018 D	  2001a D	  20015 D	  20028 D	  20027 D	  210a6 D	  6fc  	  
Set	121:	2002a D	  20018 D	  2001a D	  20015  	  20028 D	  20019 D	  20027 D	  210a6  	  
Set	122:	2001b D	  2002a D	  20018 D	  2001a D	  20015  	  20019  	  20028 D	  20027 D	  
Set	123:	2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  0  	  0  	  
Set	124:	2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20001  	  0  	  
Set	125:	2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20015  	  20027 D	  2009b  	  
Set	126:	2001b  	  2002a D	  20018 D	  2001a D	  20028 D	  20015  	  20027 D	  2009b  	  
Set	127:	2002a D	  20018 D	  2001a D	  2001d D	  20028 D	  20027 D	  0  	  0  	  
Set	128:	2002a D	  20018 D	  2001a D	  2001d  	  20028 D	  20015 D	  20027 D	  2009b D	  
Set	129:	2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20015  	  20027 D	  2009b  	  
Set	130:	2001b D	  2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20015  	  20027 D	  
Set	131:	2001b  	  2002a D	  2001f  	  20018 D	  2001a D	  20028 D	  20027 D	  20026  	  
Set	132:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  20026  	  210a6 D	  211d8  	  
Set	133:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  211d8  	  210a6  	  2009c D	  
Set	134:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  211d8 D	  210a6  	  2009c  	  
Set	135:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  211d8  	  0  	  0  	  
Set	136:	2002a D	  20018 D	  2001a D	  20026  	  20021  	  20028 D	  20027 D	  0  	  
Set	137:	2002a D	  20018 D	  2001a D	  20026  	  20021  	  20028 D	  20027 D	  0  	  
Set	138:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  210a6 D	  0  	  0  	  
Set	139:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  210a6  	  0  	  0  	  
Set	140:	2002a D	  20018 D	  2001a D	  2001e  	  20028 D	  20027 D	  0  	  0  	  
Set	141:	2001e D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  0  	  0  	  
Set	142:	2001e  	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  6fc  	  0  	  
Set	143:	2002a D	  20018 D	  2001a D	  2001e  	  20026  	  20028 D	  20027 D	  6fc  	  
Set	144:	2002a D	  20018 D	  2001a D	  20026  	  20028 D	  20027 D	  210a6  	  0  	  
Set	145:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  210a6  	  0  	  0  	  
Set	146:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  0  	  0  	  0  	  
Set	147:	2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  2009c D	  210a6  	  0  	  
Set	148:	20021 D	  2002a D	  20018 D	  2001a D	  2001e D	  20028 D	  20019 D	  20027 D	  
