===== Simulator configuration =====
BLOCKSIZE:             16
L1_SIZE:               16384
L1_ASSOC:              4
L1_PREF_N:             1
L1_PREF_M:             1
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	40033 D	  40056 D	  40055 D	  40054 D	  
Set	1:	40033 D	  40056 D	  40055 D	  40054 D	  
Set	2:	40033 D	  4003f D	  40056 D	  40055 D	  
Set	3:	40033 D	  40055 D	  40053 D	  40056 D	  
Set	4:	40033 D	  40055 D	  40056 D	  40054 D	  
Set	5:	40033 D	  40055 D	  40056 D	  40054 D	  
Set	6:	40056 D	  40053 D	  40055 D	  40054 D	  
Set	7:	40036 D	  40056 D	  40053 D	  40055 D	  
Set	8:	40056 D	  40053 D	  40055 D	  40054 D	  
Set	9:	4001f  	  40056 D	  40055 D	  40054 D	  
Set	10:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	11:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	12:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	13:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	14:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	15:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	16:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	17:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	18:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	19:	40056 D	  40054 D	  40055 D	  40053 D	  
Set	20:	40056 D	  40054 D	  40055 D	  40053 D	  
Set	21:	40056 D	  40054 D	  40055 D	  40053 D	  
Set	22:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	23:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	24:	4001f  	  40056 D	  40055 D	  40054 D	  
Set	25:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	26:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	27:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	28:	40056 D	  40055 D	  40054 D	  40053 D	  
Set	29:	40035 D	  4003a D	  40056 D	  40055 D	  
