===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             2
L1_PREF_M:             1
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	20028d D	  20018a  	  20028e D	  200198 D	  
Set	1:	2001c1 D	  20028d D	  200153 D	  20013b  	  
Set	2:	200223 D	  20028d D	  200241  	  2001c1  	  
Set	3:	20018a  	  2001ac D	  20028e D	  20028d D	  
Set	4:	20018f D	  2000f9  	  20017a D	  20018a  	  
Set	5:	200009  	  20017a  	  2000fa  	  20018a  	  
Set	6:	200009  	  2000f9  	  20028d D	  20018a  	  
Set	7:	200009  	  2001ac  	  2000fa  	  200149  	  
Set	8:	200009  	  3d819c D	  20017b D	  2000f9  	  
Set	9:	200009  	  2000fa  	  2000f9  	  2001b2 D	  
Set	10:	200009  	  200214  	  2000fa  	  20023f  	  
Set	11:	200009  	  2001ab  	  20013a  	  20023f  	  
Set	12:	20018f D	  2001f2  	  2001aa  	  20018a D	  
Set	13:	20028d D	  20018d D	  20013a  	  20028c D	  
Set	14:	20013a  	  20018d D	  20028d D	  2001ad D	  
Set	15:	2001f8 D	  20028c D	  20013a  	  20018d D	  
===== L1-SB contents =====
40001380 
40042960 
===== L2 contents =====
Set	0:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	1:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	2:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	3:	2001b D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	4:	2001b  	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	5:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	6:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	7:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	8:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	9:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	10:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	11:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	12:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	13:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	14:	2002b D	  2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	15:	2002b D	  2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	16:	2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	17:	2001c  	  2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	18:	20024  	  2001c D	  2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  
Set	19:	20024  	  2001c D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	20:	2002b D	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  2001d  	  
Set	21:	2002b  	  2001c D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  
Set	22:	2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20027 D	  20028 D	  
Set	23:	20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  20024  	  
Set	24:	20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	25:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20024  	  
Set	26:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20024  	  
Set	27:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20024  	  
Set	28:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  20027 D	  
Set	29:	2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	30:	2001d  	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  
Set	31:	2001d D	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20024 D	  
Set	32:	2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20024  	  20028 D	  
Set	33:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20024  	  20028 D	  20019  	  
Set	34:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20024  	  20028 D	  20019 D	  
Set	35:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  20027 D	  
Set	36:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	37:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	38:	2001b D	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	39:	2001b D	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	40:	2001b D	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	41:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	42:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	43:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f  	  20028 D	  20027 D	  
Set	44:	2001f D	  2002a D	  20018 D	  20022 D	  2001a D	  20015 D	  20028 D	  2001b  	  
Set	45:	2001f  	  2001b D	  20022 D	  2002a D	  20018 D	  2001a D	  20015  	  20028 D	  
Set	46:	2001b D	  20022  	  2002a D	  20018 D	  2001a D	  20015  	  20028 D	  20027 D	  
Set	47:	20022 D	  2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  2001f D	  
Set	48:	20022 D	  2001f D	  2002a D	  20018 D	  2001a D	  2001b  	  20028 D	  20027 D	  
Set	49:	20015 D	  20022  	  2002a D	  2001f D	  20018 D	  2001a D	  20019 D	  20028 D	  
Set	50:	20022  	  20015  	  2002a D	  2001f D	  20018 D	  2001a D	  20019  	  20028 D	  
Set	51:	20022  	  2002a D	  2001f D	  20018 D	  2001a D	  20028 D	  20027 D	  20021  	  
Set	52:	2001f D	  2002a D	  20018 D	  2001a D	  20026  	  20028 D	  20027 D	  6fc  	  
Set	53:	2001f  	  2002a D	  20018 D	  2001a D	  20019 D	  20026  	  20028 D	  20021 D	  
Set	54:	20022 D	  2002a D	  20018 D	  2001a D	  20019  	  20028 D	  20026  	  20021  	  
Set	55:	20022  	  2002a D	  20018 D	  2001a D	  20023 D	  20026  	  20027 D	  20028 D	  
Set	56:	2002a D	  20018 D	  2001a D	  20023 D	  20026  	  20027 D	  20028 D	  6fd  	  
Set	57:	2002a D	  20018 D	  2001a D	  20027 D	  20023  	  20028 D	  20019 D	  20026  	  
Set	58:	2002a D	  20018 D	  2001a D	  20027 D	  20028 D	  20019  	  6fc  	  0  	  
Set	59:	2002a D	  20018 D	  2001a D	  20027 D	  20028 D	  6fc  	  0  	  0  	  
Set	60:	2002a D	  20018 D	  2001a D	  20015 D	  20027 D	  20028 D	  20019 D	  210a6 D	  
Set	61:	2001b D	  2002a D	  20018 D	  2001a D	  20015  	  20019  	  20028 D	  20027 D	  
Set	62:	2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20015  	  20027 D	  2009b  	  
Set	63:	2001b  	  2002a D	  20018 D	  2001a D	  2001d D	  20028 D	  20015  	  20027 D	  
Set	64:	2001f D	  2002a D	  20018 D	  2001a D	  2001d  	  20028 D	  20015 D	  20027 D	  
Set	65:	2001b D	  2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20015  	  20027 D	  
Set	66:	2001b  	  2002a D	  2001f  	  20018 D	  2001a D	  20028 D	  20027 D	  20026  	  
