===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             4
L1_PREF_M:             3
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	20028d D	  20018a  	  20028e D	  200198 D	  
Set	1:	2001c1 D	  20028d D	  200153 D	  20013b  	  
Set	2:	200223 D	  20028d D	  200241  	  2001c1  	  
Set	3:	20018a  	  2001ac D	  20028e D	  20028d D	  
Set	4:	20018f D	  2000f9  	  20017a D	  20018a  	  
Set	5:	200009  	  20017a  	  2000fa  	  20018a  	  
Set	6:	200009  	  2000f9  	  20028d D	  20018a  	  
Set	7:	200009  	  2001ac  	  2000fa  	  200149  	  
Set	8:	200009  	  3d819c D	  20017b D	  2000f9  	  
Set	9:	200009  	  2000fa  	  2000f9  	  2001b2 D	  
Set	10:	200009  	  200214  	  2000fa  	  20023f  	  
Set	11:	200009  	  2001ab  	  20013a  	  20023f  	  
Set	12:	20018f D	  2001f2  	  2001aa  	  20018a D	  
Set	13:	20028d D	  20018d D	  20013a  	  20028c D	  
Set	14:	20013a  	  20018d D	  20028d D	  2001ad D	  
Set	15:	2001f8 D	  20028c D	  20013a  	  20018d D	  
===== L1-SB contents =====
40001380 400013a0 400013c0 
40042960 40042980 400429a0 
4002f4c0 4002f4e0 4002f500 
40048260 40048280 400482a0 
===== L2 contents =====
Set	0:	2001b  	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  
Set	1:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	2:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	3:	2001b D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	4:	2001b  	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	5:	2002b D	  2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	6:	2001b  	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  
Set	7:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	8:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	9:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	10:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	11:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	12:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	13:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	14:	2002b D	  2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	15:	2002b D	  2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	16:	2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	17:	2001c  	  2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	18:	20024  	  2001c D	  2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  
Set	19:	20024  	  2001c D	  2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  
Set	20:	20024  	  2001c  	  2002b D	  2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  
