===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               4096
L1_ASSOC:              4
L1_PREF_N:             4
L1_PREF_M:             2
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	1000c5  	  100147 D	  1000cc D	  1000bd D	  
Set	1:	100147 D	  1000cc D	  1000fc D	  1000da D	  
Set	2:	1000c5  	  1000cc D	  100147 D	  100146 D	  
Set	3:	1000c5  	  1000d6 D	  100147 D	  1000d8 D	  
Set	4:	1000bd D	  1000c5  	  100147 D	  100146 D	  
Set	5:	1000bd  	  10007d  	  1000c5  	  100147 D	  
Set	6:	1000c5  	  1000d9 D	  1000d6 D	  100146 D	  
Set	7:	1000d6  	  10007d  	  1000d9 D	  1000fb D	  
Set	8:	1ec0ce D	  10007d  	  1000d9 D	  1000d5  	  
Set	9:	10007d  	  1000d9 D	  1000d5  	  1ec0ce D	  
Set	10:	10010a D	  10007d  	  1000d5  	  1000fe D	  
Set	11:	10009d  	  1000d5  	  10010a D	  100146 D	  
Set	12:	1000f9  	  1000d5  	  1000c5 D	  10009d  	  
Set	13:	10009d  	  100146 D	  1000d9 D	  1000ff D	  
Set	14:	10009d  	  100146 D	  1000d9 D	  1000d4 D	  
Set	15:	1000fc D	  100146 D	  10009d  	  100111 D	  
Set	16:	100146 D	  1000d5  	  1000e7  	  1000e8 D	  
Set	17:	1000e0 D	  100146 D	  1000a9 D	  10009d  	  
Set	18:	100111 D	  100146 D	  100120  	  1000e0 D	  
Set	19:	100146 D	  1000e0 D	  1000de D	  1000fe D	  
Set	20:	1000c7 D	  10007c  	  100146 D	  1000a4  	  
Set	21:	100004  	  100146 D	  10011f  	  1000c7 D	  
Set	22:	100004  	  10007c  	  100146 D	  10011f  	  
Set	23:	100004  	  1000a4  	  100146 D	  10011f  	  
Set	24:	100004  	  1000bd D	  10007c  	  1000a4  	  
Set	25:	100004  	  10007c  	  10011f  	  100146 D	  
Set	26:	100004  	  10011f  	  100146 D	  1000d5 D	  
Set	27:	100004  	  1000d5  	  10011f  	  100146 D	  
Set	28:	1000c7 D	  1000d5  	  10011f  	  100146 D	  
Set	29:	100146 D	  1000c6 D	  1000d9 D	  1000d5 D	  
Set	30:	1000c6 D	  100146 D	  1000d6 D	  1000d3 D	  
Set	31:	1000c6 D	  100146 D	  1000cb D	  1000d4 D	  
===== L1-SB contents =====
40001380 400013a0 
4002f4c0 4002f4e0 
40048260 40048280 
40038240 40038260 
===== L2 contents =====
Set	0:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	1:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	2:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	3:	2002b D	  2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	4:	2001b  	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	5:	2002b D	  2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	6:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	7:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	8:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  
Set	9:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	10:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	11:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019 D	  
Set	12:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	13:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	14:	2002b D	  2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	15:	2002b D	  2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	16:	2002b D	  2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	17:	2001c  	  2001d D	  2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	18:	20024  	  2001c D	  2002b D	  2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  
Set	19:	20024  	  2001c  	  2002b D	  2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  
Set	20:	20024  	  2002b D	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  
Set	21:	2002b  	  2001c D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  2001d  	  
Set	22:	2002b  	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	23:	20018 D	  2001c  	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	24:	20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	25:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	26:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20024  	  
Set	27:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20024  	  
Set	28:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  20028 D	  20024  	  
Set	29:	2001d D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	30:	2001d  	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  
Set	31:	2001d D	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019  	  
Set	32:	2001d  	  2001c  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  
Set	33:	2001d  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20024  	  
Set	34:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20024  	  20019 D	  
Set	35:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20024  	  20028 D	  20019  	  
Set	36:	2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  20027 D	  
Set	37:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	38:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	39:	2001b  	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20028 D	  20027 D	  
Set	40:	2001b  	  20018 D	  2002a D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	41:	2001b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20019 D	  20028 D	  
Set	42:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20019  	  
Set	43:	2001b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f  	  20028 D	  20019  	  
Set	44:	2001f D	  2002a D	  2001b  	  20018 D	  20022 D	  2001a D	  20015 D	  20028 D	  
Set	45:	20022 D	  2001f  	  2001b D	  2002a D	  20018 D	  2001a D	  20028 D	  20015  	  
Set	46:	2001f  	  2001b  	  20022  	  2002a D	  20018 D	  2001a D	  20028 D	  20015  	  
Set	47:	2001b D	  20022  	  2002a D	  20018 D	  2001a D	  20028 D	  20015  	  20027 D	  
Set	48:	20022 D	  2001b  	  2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20027 D	  
Set	49:	20015  	  2002a D	  20022  	  2001f D	  20018 D	  2001a D	  20019 D	  2001b  	  
Set	50:	20022  	  20015  	  2002a D	  2001f D	  20018 D	  2001a D	  20019  	  20028 D	  
Set	51:	20022  	  20015  	  2002a D	  2001f D	  20018 D	  2001a D	  20019  	  20028 D	  
Set	52:	20022  	  2001f D	  2002a D	  20018 D	  2001a D	  20028 D	  20026  	  20027 D	  
Set	53:	2001f  	  2002a D	  20018 D	  2001a D	  20019 D	  20028 D	  20026  	  20021 D	  
Set	54:	20022 D	  2001f  	  2002a D	  20018 D	  2001a D	  20028 D	  20019  	  20026  	  
Set	55:	20022  	  2002a D	  20018 D	  2001a D	  20023 D	  20026  	  20019  	  20027 D	  
